name,price,rating,ac_type,capacity,features
Panasonic CS/CU-SU18BKY3W 1.5 Ton 3 Star 2026 Inverter Split AC,"₹37,990",--rating: 4.55;,Split AC,1.5 Ton Capacity,"['Hidden Panel Display', '2-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control, Voice Control', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter']"
MarQ by Flipakart 155IPG25WQ 1.5 Ton 5 Star 2025 Inverter Split AC,"₹28,990",--rating: 4.7;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis, Memory Feature']"
MarQ by Flipakart 153IPG25WQ 1.5 Ton 3 Star 2025 Inverter Split AC,"₹24,990",--rating: 4.25;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis, Memory Feature']"
Voltas 183V Vectra Zenith Silver 1.5 Ton 3 Star 2024 Inverter Split AC,"₹31,990",--rating: 4.55;,Split AC,1.5 Ton Capacity,"['2-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', '3 Star Rating']"
Voltas 072 Vectra Elegant 0.6 Ton 2 Star 2023 Split AC,"₹23,890",--rating: 4.3;,Split AC,0.6 Ton Capacity,"['4-Way Air Swing, Auto Restart', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons', '2 Star Rating']"
LG MS-Q18YNZA 1.5 Ton 5 Star 2021 Inverter Split AC,"₹34,419",--rating: 4.05;,Split AC,1.5 Ton Capacity,"['Magic Display Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis, Memory Feature']"
Carrier CAI24EE5R36W1 2 Ton 5 Star 2026 Inverter Split AC,"₹58,989",--rating: 4.05;,Split AC,2 Ton Capacity,"['Digital LED Panel Display', '2-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control, Voice Control', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter']"
Godrej WIC 18F5TG 1.5 Ton 5 Star 2026 Inverter Window AC,"₹34,490",--rating: 4.05;,Window AC,1.5 Ton Capacity,"['LED Panel Display', 'Air Swing, Auto Restart', 'Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis, Memory Feature']"
Carrier CIW19EC3R36F0 1.5 Ton 3 Star 2026 Inverter Window AC,"₹32,999",--rating: 4.4;,Window AC,1.5 Ton Capacity,"['LED Panel Display', '2-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Memory Feature']"
Lloyd GLS18I5KWFGR 1.5 Ton 4 Star 2026 Inverter Split AC,"₹38,490",--rating: 4.7;,Split AC,1.5 Ton Capacity,"['4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Auto Clean', '4 Star Rating']"
Carrier CIW19EC5R36F0 1.5 Ton 5 Star 2026 Inverter Window AC,"₹35,999",--rating: 4.5;,Window AC,1.5 Ton Capacity,"['LED Panel Display', '2-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Memory Feature']"
MITSUBISHI DXK20CAPDA-W 1.6 Ton 2 Star 2026 Split AC,"₹51,490",--rating: 4.75;,Split AC,1.6 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis, Memory Feature', 'Auto Clean']"
Lloyd GLS18I5KOCGR 1.5 Ton 5 Star 2025 Inverter Split AC,"₹41,850",--rating: 4.55;,Split AC,1.5 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Auto Clean', '5 Star Rating']"
MITSUBISHI DXK27YAMDA-W 2.25 Ton 3 Star 2026 Inverter Split AC,"₹70,990",--rating: 4.2;,Split AC,2.25 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis, Memory Feature', 'Auto Clean']"
MITSUBISHI DXK21YAMDA-W 1.75 Ton 3 Star 2026 Inverter Split AC,"₹59,990",--rating: 4.7;,Split AC,1.75 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis, Memory Feature', 'Auto Clean']"
Lloyd GLS12I3AGCSR 1 Ton 3 Star 2025 Inverter Split AC,"₹32,499",--rating: 4.5;,Split AC,1 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Auto Clean', '3 Star Rating']"
Daikin FTQ30XV16VBA 0.9 Ton 2 Star 2026 Split AC,"₹25,490",--rating: 4.4;,Split AC,0.9 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis', 'Auto Clean']"
Daikin FTKL71XV16MAA 2 Ton 3 Star 2026 Inverter Split AC,"₹64,900",--rating: 4.7;,Split AC,2 Ton Capacity,"['Triple Display Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis']"
MITSUBISHI SRK24YYM-W6 2.1 Ton 4 Star 2025 Inverter Split AC,"₹77,990",--rating: 4.15;,Split AC,2.1 Ton Capacity,"['Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis, Memory Feature']"
MITSUBISHI SRK18YXS2-W6 1.65 Ton 5 Star 2025 Inverter Split AC,"₹57,490",--rating: 4.3;,Split AC,1.65 Ton Capacity,"['Air Swing, Auto Restart', 'Inverter', 'Hot And Cold, Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis, Memory Feature', 'Auto Clean']"
Voltas 182FS Prism 1.5 Ton 2 Star 2026 Window AC,"₹30,990",--rating: 4.15;,Window AC,1.5 Ton Capacity,"['7 Segment LED Panel Display', '4-Way Air Swing, Auto Restart', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Memory Feature', 'Night Glow Buttons']"
Godrej HIC 18J5TG 1.5 Ton 5 Star 2026 Inverter Split AC,"₹38,990",--rating: 4.45;,Split AC,1.5 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Auto Clean']"
Godrej HIC 18Y3TG 1.5 Ton 3 Star 2026 Inverter Split AC,"₹31,650",--rating: 4.7;,Split AC,1.5 Ton Capacity,"['2-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Auto Clean']"
MarQ by Flipakart 103IPG26WQ 1 Ton 3 Star 2026 Inverter Split AC,"₹22,990",--rating: 4.6;,Split AC,1 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
MarQ by Flipakart 155IPG26WQ 1.5 Ton 5 Star 2026 Inverter Split AC,"₹29,990",--rating: 4.7;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
