,price,rating,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display,log_price,capacity_sq,n_features_sq,rating_sq,capacity_n_features,capacity_rating,rating_n_features,smart_intensity,ac_premium_features,ref_door_complexity,wm_tech_level,features_above_avg,rating_above_avg,capacity_above_avg,brand_frequency,category_Refrigerator,category_WashingMachine,_category_backup
33,35490,4.45,11,daikin,1.2,Ton,5.0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.477034422194833,1.44,121,19.802500000000002,13.2,5.34,48.95,0,1,0,0,0.041625371655104715,0.07324083250743385,-0.24580773042616455,66,False,False,AC
34,44800,4.15,11,voltas,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.709985739582528,2.25,121,17.222500000000004,16.5,6.2250000000000005,45.650000000000006,0,0,0,0,0.041625371655104715,-0.22675916749256597,0.054192269573835494,218,False,False,AC
35,47190,4.2,13,blue star,1.5,Ton,5.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.76195847542619,2.25,169,17.64,19.5,6.300000000000001,54.6,6,0,0,0,2.0416253716551047,-0.17675916749256615,0.054192269573835494,165,False,False,AC
36,50990,4.2,11,daikin,1.5,Ton,5.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.839404425545462,2.25,121,17.64,16.5,6.300000000000001,46.2,0,0,0,0,0.041625371655104715,-0.17675916749256615,0.054192269573835494,66,False,False,AC
37,33489,4.25,11,lloyd,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41900216578825,2.25,121,18.0625,16.5,6.375,46.75,0,1,0,0,0.041625371655104715,-0.12675916749256633,0.054192269573835494,141,False,False,AC
38,47829,4.25,10,mitsubishi,1.8,Ton,2.0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.775408336674342,3.24,100,18.0625,18.0,7.65,42.5,0,0,0,0,-0.9583746283448953,-0.12675916749256633,0.35419226957383554,12,False,False,AC
39,32990,4.6,11,onida,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.403990075979044,2.25,121,21.159999999999997,16.5,6.8999999999999995,50.599999999999994,0,1,0,0,0.041625371655104715,0.22324083250743332,0.054192269573835494,26,False,False,AC
40,59090,4.0,12,mitsubishi,1.5,Ton,3.0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.986833907533804,2.25,144,16.0,18.0,6.0,48.0,0,1,0,0,1.0416253716551047,-0.3767591674925663,0.054192269573835494,12,False,False,AC
41,39990,4.5,12,blue star,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.596409707779776,2.25,144,20.25,18.0,6.75,54.0,0,0,0,0,1.0416253716551047,0.12324083250743367,0.054192269573835494,165,False,False,AC
42,47890,4.15,12,panasonic,1.5,Ton,5.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.776682874304697,2.25,144,17.222500000000004,18.0,6.2250000000000005,49.800000000000004,6,0,0,0,1.0416253716551047,-0.22675916749256597,0.054192269573835494,123,False,False,AC
