brand,model_year,product,price,rating,ac_type,capacity,Dehumidification,Turbo Mode,Air Swing,Self Diagnosis,Memory Feature,LED Panel Display,Night Glow Buttons,Wi-Fi Connectivity,APP Control,Auto Clean,Hidden Panel Display,Voice Control,PM 2.5 Filter,inverter,star_rating
Hitachi,2025,AC,44990,4.0,Split,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5
Realme,2026,AC,36990,4.6,Split,2.0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,3
Realme,2026,AC,31990,4.5,Split,1.5,1,0,1,0,0,1,0,1,1,0,0,0,0,1,5
Realme,2026,AC,25490,4.75,Split,1.0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,3
Daikin,2025,AC,59490,4.0,Split,2.0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,3
Godrej,2026,AC,33990,4.7,Split,1.0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,5
Daikin,2026,AC,41490,4.35,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Daikin,2026,AC,42990,4.6,Split,1.0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,5
Haier,2026,AC,47990,4.05,Split,2.0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,3
LG,2026,AC,56989,4.25,Split,2.0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Samsung,2026,AC,49990,4.6,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Blue Star,2025,AC,45590,4.05,Split,1.5,1,1,1,0,0,0,0,1,1,0,1,1,1,1,5
Blue Star,2026,AC,38989,4.55,Split,1.0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,5
LG,2026,AC,41500,4.2,Split,1.5,1,1,1,1,0,0,0,0,0,0,1,0,0,1,3
Whirlpool,2025,AC,36990,4.6,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,5
Whirlpool,2026,AC,30490,4.35,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Blue Star,2026,AC,37131,4.1,Split,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2
Voltas,2026,AC,37489,4.4,Window,1.5,1,0,0,0,1,0,1,0,0,0,0,0,0,1,5
IFB,2026,AC,36990,4.2,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,0,0,1,3
Lloyd,2026,AC,41990,4.55,Split,1.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,5
Blue Star,2026,AC,45490,4.0,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,1,1,5
Panasonic,2026,AC,65989,4.5,Split,2.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,5
Voltas,2026,AC,36490,4.05,Split,1.5,1,1,1,1,0,0,0,1,1,0,1,0,0,1,3
Motorola,2026,AC,36990,4.75,Split,1.5,1,1,1,0,0,0,0,1,1,0,1,0,0,1,5
Samsung,2026,AC,37390,4.25,Split,1.0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Panasonic,2026,AC,43990,4.35,Split,1.5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,4
TCL,2026,AC,30990,4.5,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,1,1,3
LG,2025,AC,36990,4.6,Split,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,5
Hisense,2025,AC,27490,4.25,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,0,1,1,3
LG,2026,AC,36489,4.05,Split,1.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3
Haier,2025,AC,35490,4.3,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,4
Godrej,2026,AC,30000,4.7,Window,1.5,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3
Godrej,2025,AC,27990,4.45,Split,1.2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,3
O General,,AC,50590,4.5,Split,1.5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3
Carrier,2025,AC,45600,4.4,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,0,0,1,5
Haier,2025,AC,43990,4.3,Split,1.6,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Lloyd,2025,AC,39490,4.3,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,1,1,5
Lloyd,2025,AC,35100,4.1,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3
Lloyd,2025,AC,44790,4.65,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,1,1,5
Blue Star,2025,AC,25005,4.7,Window,1.0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3
Hitachi,2025,AC,58390,4.7,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5
IFB,2025,AC,35490,4.05,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,0,1,5
Carrier,2025,AC,37490,4.3,Split,1.5,1,0,0,0,0,0,0,1,1,0,0,1,0,1,5
LG,2025,AC,38990,4.6,Window,1.5,1,0,1,1,1,1,0,0,0,0,0,0,0,1,5
Samsung,2025,AC,31990,4.35,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,0,1,3
LG,2025,AC,42990,4.05,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5
LG,2025,AC,33990,4.5,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,3
Godrej,2024,AC,28855,4.5,Split,1.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,3
Godrej,2023,AC,25490,4.5,Window,1.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3
Daikin,2026,AC,56540,4.75,Split,1.8,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Whirlpool,2026,AC,41990,4.2,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,5
TCL,2026,AC,27990,4.35,Split,1.0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,3
Panasonic,2026,AC,49990,4.2,Split,1.5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,5
Haier,2026,AC,36485,4.5,Split,1.5,1,1,1,1,0,0,0,1,1,0,0,0,0,1,3
Blue Star,2026,AC,39489,4.65,Window,1.5,1,1,0,1,1,1,0,0,0,0,0,0,0,1,5
IFB,2026,AC,42490,4.05,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,0,0,1,5
Hitachi,,AC,45999,4.0,Split,1.5,1,0,1,1,0,0,0,1,1,0,0,1,0,1,5
Blue Star,2026,AC,47990,4.7,Split,2.0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,3
Hitachi,,AC,35990,4.75,Split,1.5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3
Blue Star,,AC,36990,4.75,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,1,1,3
Daikin,2026,AC,84490,4.2,Split,2.5,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Haier,2026,AC,38990,4.4,Split,1.0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,5
Haier,2026,AC,39990,4.4,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,0,1,3
Voltas,2026,AC,31490,4.55,Split,1.0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,3
Voltas,2026,AC,39080,4.5,Window,1.5,1,1,1,0,1,1,0,0,0,0,0,0,0,1,5
Voltas,2026,AC,33690,4.65,Window,1.5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3
Voltas,,AC,42990,4.65,Split,1.0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5
Panasonic,2026,AC,48790,4.65,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,1,0,1,4
Panasonic,2026,AC,78990,4.15,Split,2.5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,3
Panasonic,2026,AC,49800,4.05,Split,2.0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,3
LG,2026,AC,53190,4.35,Split,1.5,1,1,1,1,0,0,0,1,1,0,0,0,0,1,5
LG,2026,AC,49365,4.1,Window,1.5,1,0,1,0,0,1,0,1,1,0,0,1,0,1,3
LG,2026,AC,35490,4.0,Window,1.5,1,0,1,1,1,1,0,0,0,0,0,0,0,1,3
LG,2026,AC,25999,4.55,Split,0.75,1,0,1,0,1,0,0,0,0,1,0,0,0,1,2
LG,2025,AC,43990,4.2,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,0,1,5
Godrej,2025,AC,32990,4.1,Split,1.8,1,0,1,1,1,0,0,0,0,1,0,0,0,1,3
Godrej,2026,AC,28450,4.05,Split,1.0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3
Godrej,2026,AC,39990,4.0,Split,2.0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,3
Voltas,2026,AC,49990,4.65,Split,1.5,1,1,1,1,0,0,0,0,0,0,1,0,0,1,5
Voltas,2026,AC,28899,4.55,Window,1.5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2
IFB,2026,AC,44489,4.4,Split,1.5,1,0,1,0,0,0,0,1,1,0,0,0,0,1,5
Panasonic,2026,AC,39990,4.5,Window,1.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5
Haier,2026,AC,43490,4.35,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,0,1,4
Haier,2026,AC,54490,4.6,Split,1.6,1,1,1,1,0,0,1,0,0,0,0,0,0,1,5
Haier,2026,AC,55690,4.0,Split,2.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3
Lloyd,2026,AC,36990,4.55,Split,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,5
Samsung,2026,AC,42490,4.0,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,4
LG,2026,AC,37490,4.6,Split,1.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,4
Carrier,2026,AC,38490,4.05,Window,1.5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,5
Hitachi,,AC,47498,4.35,Split,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,3
Samsung,2026,AC,48490,4.0,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,5
Croma,2026,AC,41990,4.6,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,1,1,5
Croma,2026,AC,29490,4.4,Split,1.5,1,1,0,1,0,0,0,0,0,0,1,0,0,1,3
Samsung,2026,AC,37499,4.6,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3
Carrier,2026,AC,49990,4.6,Split,2.0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,3
TCL,2026,AC,37990,4.65,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,1,1,5
Haier,2025,AC,34990,4.55,Split,1.5,1,0,1,1,0,0,0,0,0,0,1,0,0,1,3
Panasonic,2026,AC,53990,4.65,Split,2.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,3
Panasonic,2026,AC,46490,4.45,Split,1.5,1,0,1,0,0,0,0,1,1,0,1,1,0,1,4
Panasonic,2026,AC,45490,4.55,Split,1.0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,5
Midea,2026,AC,36490,4.75,Split,1.0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,5
Midea,2026,AC,39490,4.0,Split,1.5,1,1,1,0,0,1,0,1,1,0,0,1,1,1,5
Carrier,2026,AC,45990,4.3,Split,1.5,1,0,1,1,1,0,0,0,0,1,0,0,1,1,5
Midea,2026,AC,30990,4.6,Split,1.5,1,1,1,1,1,1,0,0,0,0,0,0,1,1,3
Carrier,2026,AC,36990,4.6,Split,1.5,1,0,0,0,0,0,0,1,1,0,0,1,1,1,3
Blue Star,2025,AC,40990,4.75,Split,1.5,1,1,1,0,0,0,0,1,1,0,1,1,0,1,5
Godrej,2025,AC,35500,4.7,Split,1.5,1,0,1,1,1,0,0,0,0,1,0,0,0,1,5
