,price,rating,category,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,model_year,is_recent_model,appliance_age,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display
64,41850,4.55,AC,10,lloyd,1.5,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,70990,4.2,AC,12,mitsubishi,2.25,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,59990,4.7,AC,12,mitsubishi,1.75,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,32499,4.5,AC,10,lloyd,1.0,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,25490,4.4,AC,10,daikin,0.9,Ton,2.0,1,0,0,0,0,0,2026,1,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,64900,4.7,AC,11,daikin,2.0,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,77990,4.15,AC,13,mitsubishi,2.1,Ton,4.0,1,1,1,0,1,2,2025,1,1,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,57490,4.3,AC,12,mitsubishi,1.65,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,1,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,30990,4.15,AC,10,voltas,1.5,Ton,2.0,1,0,0,0,0,0,2026,1,0,0,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,38990,4.45,AC,10,godrej,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
